date,day,waitTime
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,120
5/28/2017,Sunday,150
5/28/2017,Sunday,150
5/28/2017,Sunday,150
5/28/2017,Sunday,150
5/28/2017,Sunday,150
5/28/2017,Sunday,210
5/28/2017,Sunday,250
5/28/2017,Sunday,250
5/28/2017,Sunday,250
5/28/2017,Sunday,250
5/28/2017,Sunday,250
5/28/2017,Sunday,250
5/28/2017,Sunday,300
5/28/2017,Sunday,295
5/28/2017,Sunday,295
5/28/2017,Sunday,295
5/28/2017,Sunday,295
5/28/2017,Sunday,295
5/28/2017,Sunday,295
5/28/2017,Sunday,295
5/28/2017,Sunday,295
5/28/2017,Sunday,295
5/28/2017,Sunday,295
5/28/2017,Sunday,240
5/28/2017,Sunday,240
5/28/2017,Sunday,240
5/28/2017,Sunday,240
5/28/2017,Sunday,240
5/28/2017,Sunday,240
5/28/2017,Sunday,240
5/28/2017,Sunday,240
5/28/2017,Sunday,240
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,160
5/28/2017,Sunday,180
5/28/2017,Sunday,180
5/28/2017,Sunday,180
5/29/2017,Monday,25
5/29/2017,Monday,45
5/29/2017,Monday,60
5/29/2017,Monday,60
5/29/2017,Monday,80
5/29/2017,Monday,80
5/29/2017,Monday,80
5/29/2017,Monday,80
5/29/2017,Monday,80
5/29/2017,Monday,125
5/29/2017,Monday,125
5/29/2017,Monday,150
5/29/2017,Monday,150
5/29/2017,Monday,225
5/29/2017,Monday,225
5/29/2017,Monday,225
5/29/2017,Monday,225
5/29/2017,Monday,225
5/29/2017,Monday,225
5/29/2017,Monday,225
5/29/2017,Monday,225
5/29/2017,Monday,225
5/29/2017,Monday,225
5/29/2017,Monday,225
5/29/2017,Monday,225
5/29/2017,Monday,225
5/29/2017,Monday,225
5/29/2017,Monday,225
5/29/2017,Monday,225
5/29/2017,Monday,200
5/29/2017,Monday,200
5/29/2017,Monday,200
5/29/2017,Monday,200
5/29/2017,Monday,200
5/29/2017,Monday,200
5/29/2017,Monday,200
5/29/2017,Monday,200
5/29/2017,Monday,160
5/29/2017,Monday,160
5/29/2017,Monday,160
5/29/2017,Monday,160
5/29/2017,Monday,160
5/29/2017,Monday,160
5/29/2017,Monday,160
5/29/2017,Monday,160
5/29/2017,Monday,160
5/29/2017,Monday,110
5/29/2017,Monday,110
5/29/2017,Monday,95
5/29/2017,Monday,95
5/29/2017,Monday,90
5/29/2017,Monday,85
5/29/2017,Monday,85
5/29/2017,Monday,90
5/29/2017,Monday,95
5/29/2017,Monday,95
5/29/2017,Monday,100
5/29/2017,Monday,100
5/29/2017,Monday,115
5/29/2017,Monday,115
5/29/2017,Monday,115
5/29/2017,Monday,115
5/29/2017,Monday,150
5/29/2017,Monday,150
5/29/2017,Monday,150
5/29/2017,Monday,150
5/29/2017,Monday,150
5/29/2017,Monday,185
5/29/2017,Monday,185
5/29/2017,Monday,185
5/29/2017,Monday,185
5/29/2017,Monday,185
5/29/2017,Monday,185
5/29/2017,Monday,185
5/29/2017,Monday,185
5/29/2017,Monday,170
5/29/2017,Monday,170
5/29/2017,Monday,170
5/29/2017,Monday,170
5/29/2017,Monday,170
5/29/2017,Monday,170
5/29/2017,Monday,145
5/29/2017,Monday,145
5/29/2017,Monday,130
5/29/2017,Monday,140
5/29/2017,Monday,140
5/29/2017,Monday,140
5/29/2017,Monday,140
5/29/2017,Monday,140
5/29/2017,Monday,140
5/29/2017,Monday,140
5/29/2017,Monday,140
5/29/2017,Monday,140
5/29/2017,Monday,140
5/29/2017,Monday,140
5/29/2017,Monday,120
5/29/2017,Monday,120
5/29/2017,Monday,145
5/29/2017,Monday,130
5/29/2017,Monday,130
5/29/2017,Monday,130
5/29/2017,Monday,130
5/29/2017,Monday,130
5/29/2017,Monday,130
5/29/2017,Monday,115
5/29/2017,Monday,115
5/29/2017,Monday,115
5/29/2017,Monday,115
5/29/2017,Monday,135
5/29/2017,Monday,135
5/29/2017,Monday,135
5/29/2017,Monday,145
5/29/2017,Monday,145
5/29/2017,Monday,145
5/29/2017,Monday,145
5/29/2017,Monday,90
5/29/2017,Monday,90
5/29/2017,Monday,90
5/29/2017,Monday,90
5/29/2017,Monday,90
5/29/2017,Monday,75
5/29/2017,Monday,75
5/29/2017,Monday,75
5/29/2017,Monday,75
5/29/2017,Monday,75
5/29/2017,Monday,40
5/29/2017,Monday,70
5/29/2017,Monday,70
5/29/2017,Monday,70
5/30/2017,Tuesday,5
5/30/2017,Tuesday,5
5/30/2017,Tuesday,5
5/30/2017,Tuesday,5
5/30/2017,Tuesday,60
5/30/2017,Tuesday,75
5/30/2017,Tuesday,110
5/30/2017,Tuesday,120
5/30/2017,Tuesday,180
5/30/2017,Tuesday,180
5/30/2017,Tuesday,180
5/30/2017,Tuesday,180
5/30/2017,Tuesday,180
5/30/2017,Tuesday,210
5/30/2017,Tuesday,210
5/30/2017,Tuesday,210
5/30/2017,Tuesday,210
5/30/2017,Tuesday,210
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,240
5/30/2017,Tuesday,180
5/30/2017,Tuesday,180
5/30/2017,Tuesday,180
5/30/2017,Tuesday,180
5/30/2017,Tuesday,180
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,150
5/30/2017,Tuesday,150
5/30/2017,Tuesday,150
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,130
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,165
5/30/2017,Tuesday,195
5/30/2017,Tuesday,195
5/30/2017,Tuesday,195
5/30/2017,Tuesday,195
5/30/2017,Tuesday,195
5/30/2017,Tuesday,195
5/30/2017,Tuesday,60
5/30/2017,Tuesday,60
5/30/2017,Tuesday,60
5/30/2017,Tuesday,60
5/30/2017,Tuesday,60
5/30/2017,Tuesday,60
5/30/2017,Tuesday,60
5/30/2017,Tuesday,60
5/30/2017,Tuesday,60
5/30/2017,Tuesday,60
5/30/2017,Tuesday,60
5/30/2017,Tuesday,60
5/30/2017,Tuesday,60
5/30/2017,Tuesday,60
5/30/2017,Tuesday,60
5/30/2017,Tuesday,60
5/30/2017,Tuesday,40
5/30/2017,Tuesday,40
5/31/2017,Wednesday,30
5/31/2017,Wednesday,30
5/31/2017,Wednesday,30
5/31/2017,Wednesday,60
5/31/2017,Wednesday,60
5/31/2017,Wednesday,120
5/31/2017,Wednesday,200
5/31/2017,Wednesday,250
5/31/2017,Wednesday,295
5/31/2017,Wednesday,295
5/31/2017,Wednesday,295
5/31/2017,Wednesday,250
5/31/2017,Wednesday,250
5/31/2017,Wednesday,220
5/31/2017,Wednesday,220
5/31/2017,Wednesday,220
5/31/2017,Wednesday,220
5/31/2017,Wednesday,220
5/31/2017,Wednesday,220
5/31/2017,Wednesday,220
5/31/2017,Wednesday,220
5/31/2017,Wednesday,220
5/31/2017,Wednesday,220
5/31/2017,Wednesday,220
5/31/2017,Wednesday,220
5/31/2017,Wednesday,220
5/31/2017,Wednesday,220
5/31/2017,Wednesday,220
5/31/2017,Wednesday,195
5/31/2017,Wednesday,195
5/31/2017,Wednesday,195
5/31/2017,Wednesday,195
5/31/2017,Wednesday,195
5/31/2017,Wednesday,145
5/31/2017,Wednesday,145
5/31/2017,Wednesday,145
5/31/2017,Wednesday,145
5/31/2017,Wednesday,145
5/31/2017,Wednesday,145
5/31/2017,Wednesday,145
5/31/2017,Wednesday,145
5/31/2017,Wednesday,145
5/31/2017,Wednesday,145
5/31/2017,Wednesday,125
5/31/2017,Wednesday,125
5/31/2017,Wednesday,125
5/31/2017,Wednesday,125
5/31/2017,Wednesday,125
5/31/2017,Wednesday,125
5/31/2017,Wednesday,125
5/31/2017,Wednesday,125
5/31/2017,Wednesday,125
5/31/2017,Wednesday,125
5/31/2017,Wednesday,125
5/31/2017,Wednesday,130
5/31/2017,Wednesday,130
5/31/2017,Wednesday,130
5/31/2017,Wednesday,135
5/31/2017,Wednesday,135
5/31/2017,Wednesday,135
5/31/2017,Wednesday,135
5/31/2017,Wednesday,140
5/31/2017,Wednesday,140
5/31/2017,Wednesday,140
5/31/2017,Wednesday,140
5/31/2017,Wednesday,140
5/31/2017,Wednesday,140
5/31/2017,Wednesday,140
5/31/2017,Wednesday,140
5/31/2017,Wednesday,140
5/31/2017,Wednesday,140
5/31/2017,Wednesday,140
5/31/2017,Wednesday,135
5/31/2017,Wednesday,135
5/31/2017,Wednesday,135
5/31/2017,Wednesday,110
5/31/2017,Wednesday,130
5/31/2017,Wednesday,140
5/31/2017,Wednesday,125
5/31/2017,Wednesday,120
5/31/2017,Wednesday,115
5/31/2017,Wednesday,105
5/31/2017,Wednesday,105
5/31/2017,Wednesday,105
5/31/2017,Wednesday,105
5/31/2017,Wednesday,95
5/31/2017,Wednesday,90
5/31/2017,Wednesday,90
5/31/2017,Wednesday,135
5/31/2017,Wednesday,90
5/31/2017,Wednesday,90
5/31/2017,Wednesday,90
5/31/2017,Wednesday,150
5/31/2017,Wednesday,150
